Variável,2024.2
Clareza nas aulas,"73,18%"
Métodos didáticos,"74,02%"
Disponibilidade de recursos,"52,36%"
Cumprimento de horários,"48,23%"
Condução do plano,"53,63%"
Atividades de avaliação,"61,73%"
Disponibilidade de atendimento,"42,65%"
Cordialidade e respeito,"44,27%"
Assiduidade,"41,72%"
Domínio do conteúdo,"34,29%"
Clareza nas aulas,"72,73%"
Métodos didáticos,"73,25%"
Disponibilidade de recursos,"50,56%"
Cumprimento de horários,"46,58%"
Condução do plano,"52,80%"
Atividades de avaliação,"61,25%"
Disponibilidade de atendimento,"42,43%"
Cordialidade e respeito,"44,29%"
Assiduidade,"41,63%"
Domínio do conteúdo,"34,63%"
