Variável,2024.2
Assistência,"43,97%"
Arte e cultura,"22,89%"
Esporte e lazer,"30,46%"
Comunicação,"32,50%"
Segurança,"62,59%"
Acesssibilidade,"37,42%"
Espaços de convivência,"39,35%"
Espaços de alimentação,"38,35%"
Banheiros,"61,59%"
Paisagismo e urbanização,"27,28%"
Assistência,"40,97%"
Arte e cultura,"20,29%"
Esporte e lazer,"27,18%"
Comunicação,"28,85%"
Segurança,"57,67%"
Acesssibilidade,"35,19%"
Espaços de convivência,"36,03%"
Espaços de alimentação,"36,80%"
Banheiros,"56,11%"
Paisagismo e urbanização,"24,62%"
